#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
77,5/20/2023 8:45,58.476,14.70888889,136,Thorndyke,Ground Bag,Low
78,5/20/2023 9:00,60.195,15.66388889,128,Thorndyke,Ground Bag,Low
79,5/20/2023 9:15,62.769,17.09388889,128,Thorndyke,Ground Bag,Low
80,5/20/2023 9:30,61.741,16.52277778,288,Thorndyke,Ground Bag,Low
81,5/20/2023 9:45,65.338,18.52111111,192,Thorndyke,Ground Bag,Low
82,5/20/2023 10:00,75.139,23.96611111,1152,Thorndyke,Ground Bag,Low
83,5/20/2023 10:15,79.678,26.48777778,1152,Thorndyke,Ground Bag,Low
84,5/20/2023 10:30,81.975,27.76388889,1344,Thorndyke,Ground Bag,Low
85,5/20/2023 10:45,84.115,28.95277778,1728,Thorndyke,Ground Bag,Low
86,5/20/2023 11:00,86.097,30.05388889,2048,Thorndyke,Ground Bag,Low
87,5/20/2023 11:15,86.097,30.05388889,1920,Thorndyke,Ground Bag,Low
88,5/20/2023 11:30,86.641,30.35611111,1856,Thorndyke,Ground Bag,Low
89,5/20/2023 11:45,87.733,30.96277778,1920,Thorndyke,Ground Bag,Low
90,5/20/2023 12:00,88.466,31.37,1856,Thorndyke,Ground Bag,Low
91,5/20/2023 12:15,87.733,30.96277778,1792,Thorndyke,Ground Bag,Low
92,5/20/2023 12:30,87.733,30.96277778,1920,Thorndyke,Ground Bag,Low
93,5/20/2023 12:45,87.368,30.76,1920,Thorndyke,Ground Bag,Low
94,5/20/2023 13:00,86.097,30.05388889,2048,Thorndyke,Ground Bag,Low
95,5/20/2023 13:15,83.221,28.45611111,2048,Thorndyke,Ground Bag,Low
96,5/20/2023 13:30,81.797,27.665,2176,Thorndyke,Ground Bag,Low
97,5/20/2023 13:45,80.029,26.68277778,960,Thorndyke,Ground Bag,Low
98,5/20/2023 14:00,83.935,28.85277778,1024,Thorndyke,Ground Bag,Low
99,5/20/2023 14:15,77.923,25.51277778,384,Thorndyke,Ground Bag,Low
100,5/20/2023 14:30,68.421,20.23388889,136,Thorndyke,Ground Bag,Low
101,5/20/2023 14:45,66.708,19.28222222,100,Thorndyke,Ground Bag,Low
102,5/20/2023 15:00,66.366,19.09222222,117,Thorndyke,Ground Bag,Low
103,5/20/2023 15:15,65.509,18.61611111,128,Thorndyke,Ground Bag,Low
104,5/20/2023 15:30,63.797,17.665,240,Thorndyke,Ground Bag,Low
105,5/20/2023 15:45,62.083,16.71277778,672,Thorndyke,Ground Bag,Low
