#,"Date Time, GMT-07:00",Temp_F ,Temp_C,"Intensity, lum/ft² ",Site,Elevation
89,5/19/2023 8:00,58.303,14.61277778,26,Chelsea Eld,High
90,5/19/2023 8:15,58.303,14.61277778,38,Chelsea Eld,High
91,5/19/2023 8:30,58.476,14.70888889,54,Chelsea Eld,High
92,5/19/2023 8:45,58.303,14.61277778,60,Chelsea Eld,High
93,5/19/2023 9:00,58.131,14.51722222,88,Chelsea Eld,High
94,5/19/2023 9:15,58.647,14.80388889,109,Chelsea Eld,High
95,5/19/2023 9:30,60.195,15.66388889,88,Chelsea Eld,High
96,5/19/2023 9:45,61.227,16.23722222,105,Chelsea Eld,High
97,5/19/2023 10:00,62.083,16.71277778,72,Chelsea Eld,High
98,5/19/2023 10:15,62.254,16.80777778,216,Chelsea Eld,High
99,5/19/2023 10:30,63.282,17.37888889,232,Chelsea Eld,High
100,5/19/2023 10:45,77.4,25.22222222,1600,Chelsea Eld,High
101,5/19/2023 11:00,83.757,28.75388889,1344,Chelsea Eld,High
102,5/19/2023 11:15,85.194,29.55222222,1216,Chelsea Eld,High
103,5/19/2023 11:30,85.554,29.75222222,1152,Chelsea Eld,High
104,5/19/2023 11:45,85.374,29.65222222,1088,Chelsea Eld,High
105,5/19/2023 12:00,84.654,29.25222222,1024,Chelsea Eld,High
106,5/19/2023 12:15,84.115,28.95277778,960,Chelsea Eld,High
107,5/19/2023 12:30,84.115,28.95277778,864,Chelsea Eld,High
108,5/19/2023 12:45,82.864,28.25777778,768,Chelsea Eld,High
109,5/19/2023 13:00,81.621,27.56722222,704,Chelsea Eld,High
110,5/19/2023 13:15,80.559,26.97722222,672,Chelsea Eld,High
111,5/19/2023 13:30,80.206,26.78111111,608,Chelsea Eld,High
112,5/19/2023 13:45,78.449,25.805,576,Chelsea Eld,High
113,5/19/2023 14:00,76.528,24.73777778,512,Chelsea Eld,High
114,5/19/2023 14:15,81.266,27.37,216,Chelsea Eld,High
115,5/19/2023 14:30,77.225,25.125,512,Chelsea Eld,High
116,5/19/2023 14:45,79.151,26.195,216,Chelsea Eld,High
117,5/19/2023 15:00,84.654,29.25222222,1088,Chelsea Eld,High
118,5/19/2023 15:15,85.735,29.85277778,896,Chelsea Eld,High
119,5/19/2023 15:30,66.366,19.09222222,272,Chelsea Eld,High
120,5/19/2023 15:45,64.652,18.14,152,Chelsea Eld,High
121,5/19/2023 16:00,63.797,17.665,136,Chelsea Eld,High
122,5/19/2023 16:15,62.94,17.18888889,118,Chelsea Eld,High
123,5/19/2023 16:30,63.111,17.28388889,71,Chelsea Eld,High
124,5/19/2023 16:45,61.054,16.14111111,94,Chelsea Eld,High
125,5/19/2023 17:00,60.539,15.855,52,Chelsea Eld,High
126,5/19/2023 17:15,60.539,15.855,24,Chelsea Eld,High
127,5/19/2023 17:30,60.195,15.66388889,57,Chelsea Eld,High
128,5/19/2023 17:45,58.131,14.51722222,32,Chelsea Eld,High
129,5/19/2023 18:00,57.096,13.94222222,39,Chelsea Eld,High
130,5/19/2023 18:15,56.923,13.84611111,36,Chelsea Eld,High
131,5/19/2023 18:30,56.577,13.65388889,27,Chelsea Eld,High
132,5/19/2023 18:45,56.057,13.365,14,Chelsea Eld,High
133,5/19/2023 19:00,55.711,13.17277778,18,Chelsea Eld,High
134,5/19/2023 19:15,55.189,12.88277778,10,Chelsea Eld,High
135,5/19/2023 19:30,54.669,12.59388889,5,Chelsea Eld,High
136,5/19/2023 19:45,54.669,12.59388889,3,Chelsea Eld,High
137,5/19/2023 20:00,54.495,12.49722222,2,Chelsea Eld,High
138,5/19/2023 20:15,54.322,12.40111111,1,Chelsea Eld,High
139,5/19/2023 20:30,54.322,12.40111111,0,Chelsea Eld,High
140,5/19/2023 20:45,54.147,12.30388889,0,Chelsea Eld,High
141,5/19/2023 21:00,54.147,12.30388889,0,Chelsea Eld,High
142,5/19/2023 21:15,54.147,12.30388889,0,Chelsea Eld,High
143,5/19/2023 21:30,54.147,12.30388889,0,Chelsea Eld,High
144,5/19/2023 21:45,54.147,12.30388889,0,Chelsea Eld,High
145,5/19/2023 22:00,54.322,12.40111111,0,Chelsea Eld,High
146,5/19/2023 22:15,54.322,12.40111111,0,Chelsea Eld,High
147,5/19/2023 22:30,54.322,12.40111111,0,Chelsea Eld,High
148,5/19/2023 22:45,54.495,12.49722222,0,Chelsea Eld,High
149,5/19/2023 23:00,54.495,12.49722222,0,Chelsea Eld,High
150,5/19/2023 23:15,54.495,12.49722222,0,Chelsea Eld,High
151,5/19/2023 23:30,54.322,12.40111111,0,Chelsea Eld,High
152,5/19/2023 23:45,54.842,12.69,0,Chelsea Eld,High
153,5/20/2023 0:00,54.842,12.69,0,Chelsea Eld,High
154,5/20/2023 0:15,54.669,12.59388889,0,Chelsea Eld,High
155,5/20/2023 0:30,54.669,12.59388889,0,Chelsea Eld,High
156,5/20/2023 0:45,54.669,12.59388889,0,Chelsea Eld,High
157,5/20/2023 1:00,54.842,12.69,0,Chelsea Eld,High
158,5/20/2023 1:15,55.711,13.17277778,0,Chelsea Eld,High
159,5/20/2023 1:30,56.057,13.365,0,Chelsea Eld,High
160,5/20/2023 1:45,56.23,13.46111111,0,Chelsea Eld,High
161,5/20/2023 2:00,56.057,13.365,0,Chelsea Eld,High
162,5/20/2023 2:15,55.537,13.07611111,0,Chelsea Eld,High
163,5/20/2023 2:30,55.711,13.17277778,0,Chelsea Eld,High
164,5/20/2023 2:45,55.537,13.07611111,0,Chelsea Eld,High
165,5/20/2023 3:00,55.017,12.78722222,0,Chelsea Eld,High
166,5/20/2023 3:15,54.669,12.59388889,0,Chelsea Eld,High
167,5/20/2023 3:30,54.495,12.49722222,0,Chelsea Eld,High
168,5/20/2023 3:45,54.669,12.59388889,0,Chelsea Eld,High
169,5/20/2023 4:00,54.842,12.69,0,Chelsea Eld,High
170,5/20/2023 4:15,54.669,12.59388889,0,Chelsea Eld,High
171,5/20/2023 4:30,54.669,12.59388889,0,Chelsea Eld,High
172,5/20/2023 4:45,54.495,12.49722222,0,Chelsea Eld,High
173,5/20/2023 5:00,54.322,12.40111111,0,Chelsea Eld,High
174,5/20/2023 5:15,55.189,12.88277778,0,Chelsea Eld,High
175,5/20/2023 5:30,55.537,13.07611111,0,Chelsea Eld,High
176,5/20/2023 5:45,55.189,12.88277778,0,Chelsea Eld,High
177,5/20/2023 6:00,54.842,12.69,2,Chelsea Eld,High
178,5/20/2023 6:15,54.495,12.49722222,4,Chelsea Eld,High
179,5/20/2023 6:30,54.495,12.49722222,5,Chelsea Eld,High
180,5/20/2023 6:45,54.495,12.49722222,8,Chelsea Eld,High
181,5/20/2023 7:00,54.495,12.49722222,12,Chelsea Eld,High
182,5/20/2023 7:15,54.322,12.40111111,16,Chelsea Eld,High
183,5/20/2023 7:30,54.147,12.30388889,22,Chelsea Eld,High
